PC1,PC2,PC3
-1.345719857842138,0.12713205344434175,1.2149210116181441
0.06457248558172961,-0.4982867516787474,-0.5686480603703336
-0.9822260305423176,0.7459118763838327,1.651898778818848
-0.5480125634140314,-0.35600963432795557,0.8883230193115538
-0.4142051928682175,1.1749567722642715,-1.2820988600072625
-0.6606627199509659,0.4816580510781108,0.2657591457220281
-1.0717256689465873,-1.0002573923762277,0.8213476050310807
0.3146958388335784,-0.1462847558585419,-0.0623777232831116
-0.6956255204293099,-0.8556517150879028,0.704261920558585
1.1612066048207725,0.6369505089701737,1.041537999980238
-1.0171888310206583,-0.5913978897821774,2.0904015536554015
0.295034594711492,0.058704751842399844,-0.03902884213176163
0.982653054899257,-0.2085352179852651,0.811615064905365
-1.093361830696419,-1.7072957916680531,0.013930484718389147
-0.9132175495085907,0.8741941127100343,0.12844040789797478
-0.2443993381500361,-2.264257521910221,-0.15156288842105453
1.1713666153745466,-0.6487360291149031,0.4414351380958829
-1.8414378791264794,1.2744701794828743,-1.552177352632993
1.2498763299765827,0.5602432375954305,-0.5052692520919816
-0.37631171808973524,-0.48952614934706384,0.6103921419744174
0.6611769509824099,0.7791793631914818,0.46684909338995373
-1.6084495323114243,0.24930420327530872,1.2627141262041115
0.1269048141767615,0.6885439637721346,-0.3611934818398089
-0.020890110892534123,0.30306054941774835,-1.46857283584225
0.8326755779992929,1.3554804521966919,0.16605745794296356
1.0304243949024692,-0.05521720149474151,-0.15809040349454995
0.6132236429251793,0.7400200131065202,0.5132363065403951
-0.777422290734506,-0.3956011393573692,1.8584654879031945
0.30518918936975714,0.9247276012621132,0.6763168025978186
1.2977424313593113,-0.1240581681906297,1.1792491393698048
-0.01299985884393012,0.24341233999799294,0.12405165392566181
0.8315562397689144,-0.4810392397848167,-0.5032561214146478
0.43493926773218383,0.5038363756165416,-0.5242739778972325
1.7567789386655595,0.8013576877299126,-0.3231840302293069
-1.1574852451077984,1.3485269350211682,-2.7556617884123855
0.18164387041010457,0.38758586234186476,0.9307212248943674
0.24726325470827995,-0.09461326464812371,0.9306766262681533
1.5579107835320052,0.37553564943983725,-0.6683497481494051
-1.030274099979062,1.544371948575458,-0.9559378678924154
-0.3449199824009584,0.3514609199083244,0.7719848841830427
-0.2397758915511962,-1.2505348265078673,0.7481032813639842
1.39081855044866,-0.03327559002473138,0.09425628949845122
-1.523553090252595,0.3860918390142602,0.2931416330672185
-0.5982229344280529,1.7962905847812534,-2.1581493774992864
-1.4062870418218376,2.123227027158155,-2.5697577880321476
-2.5515202755030324,-0.39757558075890836,0.11298116524506939
-0.9030629548503255,1.7402169621297476,0.843786052627555
1.2292925500360237,0.3706048367953338,0.18707531442554814
-0.9508342948535377,1.5868989456392244,1.8134915210274702
0.26344064071530066,-0.07246471338866872,-0.22348234245024226
0.3290748593713632,1.0013866095073751,0.19146406839786112
0.34298790276872254,0.09786410192736154,-0.085416055282203
0.30518918936975714,0.9247276012621132,0.6763168025978186
0.3246536310799377,-0.7221536899192988,-0.6853413432773224
0.34523741102049676,-0.5325152891192021,-1.3776859097948517
0.46230879584885526,0.35335732490140664,0.1216833754698556
